"","Gene.ID","logFC","P.Value"
"Os.10477.1.S1_at","4338085",-8.9371293560912,9.0541240938161e-13
"Os.54579.1.S1_at","4343034",7.31215954674142,2.69856809597708e-11
"Os.9739.1.S1_at","4335019",6.77256042654156,3.01489409585101e-11
"Os.39960.1.S1_at","9268385",5.17788924605296,4.61545157680934e-11
"Os.10969.1.S1_at","4352036",-9.13682177934092,4.7017053029043e-11
"Os.49249.1.S1_at","4330832",-10.7347342083776,8.19721245462629e-11
"Os.15171.1.S1_at","4352505",6.51750950819855,1.04300656558838e-10
"Os.53971.1.S1_at","4343574",-2.89022194937734,1.42522542185351e-10
"Os.50983.1.S1_at","4336163",-7.86436952135238,1.6129540137815e-10
"Os.10321.1.S1_at","9272276",7.2851731037519,1.93126709217128e-10
"Os.45928.1.S1_at","4324018",4.34935416812715,2.47446603860862e-10
"Os.51437.1.S1_at","4335644",8.69337202824538,2.71256999572345e-10
"OsAffx.26492.1.S1_s_at","4336616",-2.95673148792531,2.90624607835406e-10
"Os.46754.1.S1_at","4346873",-8.24053846929519,3.1089263747705e-10
"OsAffx.18811.1.S1_at","4350117",-4.18233809017927,3.2079509762066e-10
"Os.12149.1.S1_at","9268719",8.87971752261281,3.23619580344883e-10
"Os.6723.1.S1_s_at","4329572",5.11843882609316,4.11529337842447e-10
"Os.14862.1.S1_a_at","9271323",7.01511292287883,4.46665650114752e-10
"Os.11150.1.S1_at","4333209",2.39541784276853,4.91604341496625e-10
"Os.26902.1.S1_at","4333636",-3.42900751566759,7.89966349685868e-10
"Os.171.1.S1_at","4327172",2.75824740454536,8.68356730056806e-10
"Os.49606.1.S1_at","4324673",4.17922800326877,1.16892389052673e-09
"Os.51191.1.S1_x_at","4325818",-7.23953331009227,1.23786697361652e-09
"Os.12333.1.S1_at","4344981",-4.84889293432421,1.26604711788334e-09
"Os.6898.1.S1_at","4343987",-5.96684942778002,1.30257739318599e-09
"Os.40030.1.S1_s_at","4338226",2.04612486761687,1.38201721275974e-09
"Os.7582.1.S1_at","4344871",-7.46655479864787,1.51831465662799e-09
"Os.38162.1.S1_at","9270871",-5.22386115185921,1.57215352753602e-09
"Os.49287.1.S1_at","9272389",4.56695531217759,1.61717884454431e-09
"Os.11411.2.S1_a_at","4336164",-6.77635715871152,1.65900257146933e-09
"Os.47732.1.S1_at","4352472///4352471",6.98438003377594,1.7208887812621e-09
"Os.14385.1.S1_at","4342743",-7.31372582046136,1.78402548019821e-09
"Os.1995.1.S1_at","4338323",-5.63529873755596,1.96073530525695e-09
"Os.19803.2.S1_at","4324498",-9.6284211549046,1.98260040335708e-09
"Os.10736.1.S1_at","4340120",-8.51734481050372,1.98995980909334e-09
"Os.49309.1.S1_at","4323856",3.95763687237077,2.07900247513887e-09
"Os.1478.1.S1_at","4332608",2.32410848912818,2.21125315167869e-09
"Os.57456.1.S1_x_at","4326471",-2.65176998120956,2.25636030760402e-09
"Os.52240.1.S1_at","4350879",5.98332825776763,2.27281085467935e-09
"Os.20299.2.S1_at","4344104",-6.03425423802742,2.2967907562228e-09
